"address","parcel","sample_date","excavation_date","remediation_status","address_omaha"
"2415 HANSCOM BD","0904120000",2004-10-08,"2012-08-13","remediated","2415 HANSCOM BD Omaha, NE"
"2302 S 31 ST","0904170000",2003-10-07,"2010-08-13","remediated","2302 S 31 ST Omaha, NE"
"2330 S 31 ST","0904240000",2008-08-08,"2014-09-29","remediated","2330 S 31 ST Omaha, NE"
"3807 S 35 ST","0422630002",2007-12-14,"not remediated","not remediated","3807 S 35 ST Omaha, NE"
"2119 N 28 AV","0511970000",2009-08-12,"not remediated","not remediated","2119 N 28 AV Omaha, NE"
"3103 W ST","0937640000",2008-08-13,"2010-05-17","remediated","3103 W ST Omaha, NE"
"6740 N 33 ST","0923470000",2006-07-06,"not remediated","not remediated","6740 N 33 ST Omaha, NE"
"2767 WYOMING ST","0923800000",2004-01-07,"not remediated","not remediated","2767 WYOMING ST Omaha, NE"
"3003 FREDERICK ST","2301110000",2003-10-29,"not remediated","not remediated","3003 FREDERICK ST Omaha, NE"
"3059 HANSCOM BD","2301180000",2004-11-12,"not remediated","not remediated","3059 HANSCOM BD Omaha, NE"
"3011 SPRING ST","2301730000",2003-11-03,"not remediated","not remediated","3011 SPRING ST Omaha, NE"
"3714 ERNST ST","2303360000",2004-01-06,"not remediated","not remediated","3714 ERNST ST Omaha, NE"
"4805 DOUGLAS ST","2305410000",2004-11-30,"2011-05-19","remediated","4805 DOUGLAS ST Omaha, NE"
"4819 DOUGLAS ST","2305480000",2004-12-01,"not remediated","not remediated","4819 DOUGLAS ST Omaha, NE"
"4824 FARNAM ST","2305550000",2005-10-17,"2022-04-28","remediated","4824 FARNAM ST Omaha, NE"
"308 S 48 ST","2305620000",2005-10-17,"2006-10-12","remediated","308 S 48 ST Omaha, NE"
"4825 FARNAM ST","2305680000",2004-12-14,"not remediated","not remediated","4825 FARNAM ST Omaha, NE"
"4845 FARNAM ST","2305730000",2007-11-02,"not remediated","not remediated","4845 FARNAM ST Omaha, NE"
"3102 S 44 AV","2345710513",2012-05-08,"not remediated","not remediated","3102 S 44 AV Omaha, NE"
"5724 S 41 ST","0832420000",2006-05-10,"not remediated","not remediated","5724 S 41 ST Omaha, NE"
"4115 W ST","0832460000",2006-11-09,"not remediated","not remediated","4115 W ST Omaha, NE"
"4127 W ST","0832500000",2009-05-14,"not remediated","not remediated","4127 W ST Omaha, NE"
"4118 X ST","0832620000",2003-11-25,"not remediated","not remediated","4118 X ST Omaha, NE"
"5824 S 41 ST","0832660004",2004-12-22,"2007-07-17","remediated","5824 S 41 ST Omaha, NE"
"3917 W ST","0832700000",2006-07-18,"not remediated","not remediated","3917 W ST Omaha, NE"
"3803 W ST","0832930002",2008-07-22,"not remediated","not remediated","3803 W ST Omaha, NE"
"3823 W ST","0832970000",1999-10-06,"2000-12-31","remediated","3823 W ST Omaha, NE"
"3810 X ST","0833010000",2004-01-06,"not remediated","not remediated","3810 X ST Omaha, NE"
"3724 X ST","0833100000",2003-12-17,"not remediated","not remediated","3724 X ST Omaha, NE"
"3643 W ST","0833260000",2004-11-16,"not remediated","not remediated","3643 W ST Omaha, NE"
"3632 X ST","0833300000",2008-07-14,"not remediated","not remediated","3632 X ST Omaha, NE"
"3701 X ST","0833550000",2004-11-04,"not remediated","not remediated","3701 X ST Omaha, NE"
"3714 Y ST","0833630000",2004-11-12,"not remediated","not remediated","3714 Y ST Omaha, NE"
"3933 X ST","0833800000",2008-07-16,"not remediated","not remediated","3933 X ST Omaha, NE"
"3936 Y ST","0833880000",2004-11-04,"not remediated","not remediated","3936 Y ST Omaha, NE"
"4139 X ST","0834060000",2004-11-03,"not remediated","not remediated","4139 X ST Omaha, NE"
"4130 Y ST","0834130000",2004-01-02,"not remediated","not remediated","4130 Y ST Omaha, NE"
"11025 NORTH POST RD","0237130002",2004-01-19,"not remediated","not remediated","11025 NORTH POST RD Omaha, NE"
"11121 NORTH POST RD","0237230001",2004-01-23,"not remediated","not remediated","11121 NORTH POST RD Omaha, NE"
"11513 NORTH POST RD","0237340002",2004-01-13,"not remediated","not remediated","11513 NORTH POST RD Omaha, NE"
"1017 S 30 AV","1318260000",2003-10-11,"2004-09-16","remediated","1017 S 30 AV Omaha, NE"
"1034 S 30 AV","2316970100",2003-10-10,"2007-08-09","remediated","1034 S 30 AV Omaha, NE"
"1006 S 30 AV","1318460000",2008-07-23,"2008-10-04","remediated","1006 S 30 AV Omaha, NE"
"1011 S 31 ST","1318510000",2004-08-23,"2010-11-16","remediated","1011 S 31 ST Omaha, NE"
"1033 S 31 ST","1318580000",2004-01-14,"2006-06-07","remediated","1033 S 31 ST Omaha, NE"
"867 S 50 AV","1318780000",2014-07-11,"2015-08-15","remediated","867 S 50 AV Omaha, NE"
"3701 OHIO ST","1319520000",2003-10-31,"not remediated","not remediated","3701 OHIO ST Omaha, NE"
"4009 OHIO ST","1319780000",2004-09-14,"not remediated","not remediated","4009 OHIO ST Omaha, NE"
"4119 OHIO ST","1319960000",1999-08-08,"not remediated","not remediated","4119 OHIO ST Omaha, NE"
"4111 MIAMI ST","1320120000",2004-10-29,"not remediated","not remediated","4111 MIAMI ST Omaha, NE"
"3347 N 40 AV","1438060000",2008-06-19,"not remediated","not remediated","3347 N 40 AV Omaha, NE"
"4020 PINKNEY ST","1438100000",1999-03-30,"not remediated","not remediated","4020 PINKNEY ST Omaha, NE"
"3531 N 40 AV","1438170000",2004-01-19,"not remediated","not remediated","3531 N 40 AV Omaha, NE"
"4015 PRATT ST","1438220000",2003-07-21,"not remediated","not remediated","4015 PRATT ST Omaha, NE"
"3532 N 40 AV","1438310000",2006-12-20,"not remediated","not remediated","3532 N 40 AV Omaha, NE"
"3512 N 40 AV","1438350000",2005-10-27,"not remediated","not remediated","3512 N 40 AV Omaha, NE"
"3502 N 40 AV","1438380000",2014-05-19,"not remediated","not remediated","3502 N 40 AV Omaha, NE"
"3348 N 40 AV","1438420000",2006-07-18,"not remediated","not remediated","3348 N 40 AV Omaha, NE"
"4074 BEDFORD AV","1438540000",2003-07-01,"2006-05-06","remediated","4074 BEDFORD AV Omaha, NE"
"3325 N 41 ST","1438590000",2004-06-07,"2012-04-25","remediated","3325 N 41 ST Omaha, NE"
"3349 N 41 ST","1438650002",2004-10-19,"not remediated","not remediated","3349 N 41 ST Omaha, NE"
"3507 N 41 ST","1438690000",2004-09-03,"not remediated","not remediated","3507 N 41 ST Omaha, NE"
"3541 N 41 ST","1438780000",2003-12-17,"not remediated","not remediated","3541 N 41 ST Omaha, NE"
"4111 PRATT ST","1438840000",2004-09-12,"not remediated","not remediated","4111 PRATT ST Omaha, NE"
"3540 N 41 ST","1438880000",2003-11-13,"not remediated","not remediated","3540 N 41 ST Omaha, NE"
"3524 N 41 ST","1438920000",2003-09-03,"not remediated","not remediated","3524 N 41 ST Omaha, NE"
"3350 N 41 ST","1439010002",2003-11-05,"not remediated","not remediated","3350 N 41 ST Omaha, NE"
"3325 N 42 ST","1439200002",2004-09-09,"not remediated","not remediated","3325 N 42 ST Omaha, NE"
"3467 N 42 ST","1439270001",2004-08-30,"not remediated","not remediated","3467 N 42 ST Omaha, NE"
"3525 N 42 ST","1439340000",2004-09-01,"2012-06-07","remediated","3525 N 42 ST Omaha, NE"
"119 N 38 ST","1444390000",2003-11-21,"not remediated","not remediated","119 N 38 ST Omaha, NE"
"3551 N 38 ST","1436580000",2004-10-13,"not remediated","not remediated","3551 N 38 ST Omaha, NE"
"3502 N 38 ST","1436720000",2005-06-27,"2006-07-31","remediated","3502 N 38 ST Omaha, NE"
"3312 N 38 ST","1436830000",2013-07-01,"not remediated","not remediated","3312 N 38 ST Omaha, NE"
"3813 PINKNEY ST","1436970000",2003-10-31,"not remediated","not remediated","3813 PINKNEY ST Omaha, NE"
"3555 N 39 ST","1437110000",2004-07-22,"not remediated","not remediated","3555 N 39 ST Omaha, NE"
"3306 N 39 ST","1437360000",2003-09-16,"not remediated","not remediated","3306 N 39 ST Omaha, NE"
"3343 N 40 ST","1437480000",2005-10-17,"not remediated","not remediated","3343 N 40 ST Omaha, NE"
"3508 N 40 ST","1437780000",2008-01-07,"not remediated","not remediated","3508 N 40 ST Omaha, NE"
"3317 N 40 AV","1438000000",2014-10-28,"2015-08-07","remediated","3317 N 40 AV Omaha, NE"
"5162 JONES ST","1633090000",2008-06-13,"not remediated","not remediated","5162 JONES ST Omaha, NE"
"507 S 50 AV","1633570000",2004-12-02,"not remediated","not remediated","507 S 50 AV Omaha, NE"
"515 S 51 ST","1633690000",2004-12-07,"not remediated","not remediated","515 S 51 ST Omaha, NE"
"516 S 51 ST","1633760000",2004-11-30,"2015-08-28","remediated","516 S 51 ST Omaha, NE"
"629 S 36 ST","1419460000",2004-11-09,"2006-10-03","remediated","629 S 36 ST Omaha, NE"
"3565 JONES ST","1419580000",2003-11-24,"2006-05-03","remediated","3565 JONES ST Omaha, NE"
"3515 JONES ST","1419670000",2012-05-07,"2012-07-16","remediated","3515 JONES ST Omaha, NE"
"709 S 35 ST","1419770000",2003-10-14,"not remediated","not remediated","709 S 35 ST Omaha, NE"
"4403 N 25 AV","1420140000",1999-10-12,"2005-12-31","remediated","4403 N 25 AV Omaha, NE"
"2562 TAYLOR ST","1420240000",2006-08-21,"2012-07-07","remediated","2562 TAYLOR ST Omaha, NE"
"2565 LAUREL AV","1613360000",2004-09-21,"not remediated","not remediated","2565 LAUREL AV Omaha, NE"
"2570 LAUREL AV","1613550000",2004-01-17,"2012-04-27","remediated","2570 LAUREL AV Omaha, NE"
"2411 CROWN POINT AV","1613630000",2003-11-25,"2005-06-20","remediated","2411 CROWN POINT AV Omaha, NE"
"2427 CROWN POINT AV","1613670000",2004-09-27,"not remediated","not remediated","2427 CROWN POINT AV Omaha, NE"
"2443 CROWN POINT AV","1613710000",2004-10-22,"not remediated","not remediated","2443 CROWN POINT AV Omaha, NE"
"2448 LAUREL AV","1613750000",2004-09-22,"not remediated","not remediated","2448 LAUREL AV Omaha, NE"
"2420 LAUREL AV","1613820000",2006-09-29,"2012-06-12","remediated","2420 LAUREL AV Omaha, NE"
"5900 N 24 ST","1613860001",2006-07-27,"not remediated","not remediated","5900 N 24 ST Omaha, NE"
"2429 LAUREL AV","1613940000",1999-08-09,"2000-12-31","remediated","2429 LAUREL AV Omaha, NE"
"2592 LAUREL AV","1614050000",1999-08-19,"not remediated","not remediated","2592 LAUREL AV Omaha, NE"
"326 N 40 ST","1614130000",2004-01-19,"not remediated","not remediated","326 N 40 ST Omaha, NE"
"345 N 41 ST","1614320000",2008-06-30,"2009-11-17","remediated","345 N 41 ST Omaha, NE"
"361 N 41 AV","1614390000",2004-10-19,"2010-09-20","remediated","361 N 41 AV Omaha, NE"
"7730 N 39 ST","1614500002",2004-01-15,"not remediated","not remediated","7730 N 39 ST Omaha, NE"
"7924 N 39 ST","1614660002",2004-01-16,"not remediated","not remediated","7924 N 39 ST Omaha, NE"
"7915 N 40 ST","1614700000",2004-01-14,"not remediated","not remediated","7915 N 40 ST Omaha, NE"
"7715 N 39 ST","1614810030",2004-01-20,"not remediated","not remediated","7715 N 39 ST Omaha, NE"
"3142 S 16 ST","0918820000",2008-04-28,"2008-08-18","remediated","3142 S 16 ST Omaha, NE"
"3125 S 17 ST","0918910000",2003-08-07,"not remediated","not remediated","3125 S 17 ST Omaha, NE"
"1911 DEER PARK BD","0919550000",2010-11-30,"2012-09-20","remediated","1911 DEER PARK BD Omaha, NE"
"2408 MAPLE ST","2002680002",2003-10-02,"2008-10-20","remediated","2408 MAPLE ST Omaha, NE"
"2426 MAPLE ST","2002760000",2006-08-17,"2010-04-02","remediated","2426 MAPLE ST Omaha, NE"
"2817 N 27 ST","2002870000",2004-08-19,"2011-04-07","remediated","2817 N 27 ST Omaha, NE"
"2512 CORBY ST","2003150000",1999-04-28,"2004-07-07","remediated","2512 CORBY ST Omaha, NE"
"2906 N 25 ST","2003400000",1999-05-04,"2007-12-31","remediated","2906 N 25 ST Omaha, NE"
"2616 MAPLE ST","2003530000",2004-10-06,"2012-06-05","remediated","2616 MAPLE ST Omaha, NE"
"2515 OHIO ST","2003890000",2006-05-04,"not remediated","not remediated","2515 OHIO ST Omaha, NE"
"2238 GRAND AV","2004140000",2004-01-15,"2013-06-01","remediated","2238 GRAND AV Omaha, NE"
"2202 GRAND AV","2004240000",2012-08-15,"2014-10-28","remediated","2202 GRAND AV Omaha, NE"
"2014 GRAND AV","2004340000",2006-05-23,"not remediated","not remediated","2014 GRAND AV Omaha, NE"
"2105 BROWNE ST","2004880000",2006-07-21,"not remediated","not remediated","2105 BROWNE ST Omaha, NE"
"5118 FLORENCE BD","2005310000",2014-10-01,"not remediated","not remediated","5118 FLORENCE BD Omaha, NE"
"3910 PATTERSON ST","2005450000",2005-11-11,"2011-04-13","remediated","3910 PATTERSON ST Omaha, NE"
"811 WILLIAM ST","1204150100",2014-10-15,"2015-09-01","remediated","811 WILLIAM ST Omaha, NE"
"1841 FLORENCE BD","1204150375",2004-10-13,"not remediated","not remediated","1841 FLORENCE BD Omaha, NE"
"1403 N 33 ST","2029800000",2015-07-31,"2015-10-05","remediated","1403 N 33 ST Omaha, NE"
"1618 CORBY ST","0828371424",2007-10-11,"2005-09-19","remediated","1618 CORBY ST Omaha, NE"
"1819 CORBY ST","2030590000",2006-07-14,"not remediated","not remediated","1819 CORBY ST Omaha, NE"
"3232 POLK ST","1927650000",2004-11-04,"not remediated","not remediated","3232 POLK ST Omaha, NE"
"3246 POLK ST","1927690001",2004-01-14,"not remediated","not remediated","3246 POLK ST Omaha, NE"
"3249 MONROE ST","1927770000",2015-02-26,"not remediated","not remediated","3249 MONROE ST Omaha, NE"
"3233 MONROE ST","1927820006",2008-06-24,"not remediated","not remediated","3233 MONROE ST Omaha, NE"
"3205 MONROE ST","1927880000",2004-06-15,"not remediated","not remediated","3205 MONROE ST Omaha, NE"
"3216 DREXEL ST","1927980002",2014-01-30,"not remediated","not remediated","3216 DREXEL ST Omaha, NE"
"3245 MADISON ST","1928100000",2006-07-24,"not remediated","not remediated","3245 MADISON ST Omaha, NE"
"3213 MADISON ST","1928180000",2008-06-20,"not remediated","not remediated","3213 MADISON ST Omaha, NE"
"3231 JEFFERSON ST","1928470002",2004-12-20,"not remediated","not remediated","3231 JEFFERSON ST Omaha, NE"
"3207 JEFFERSON ST","1928520000",2004-11-03,"not remediated","not remediated","3207 JEFFERSON ST Omaha, NE"
"3222 MADISON ST","1928590000",2011-06-15,"not remediated","not remediated","3222 MADISON ST Omaha, NE"
"3260 MADISON ST","1928660000",2004-10-27,"not remediated","not remediated","3260 MADISON ST Omaha, NE"
"6519 S 32 ST","1928240010",2019-05-29,"not remediated","not remediated","6519 S 32 ST Omaha, NE"
"6615 S 32 ST","1928820002",2003-12-09,"not remediated","not remediated","6615 S 32 ST Omaha, NE"
"6711 S 32 ST","1928910000",2004-10-28,"not remediated","not remediated","6711 S 32 ST Omaha, NE"
"1412 VINTON ST","1929150000",2008-05-13,"not remediated","not remediated","1412 VINTON ST Omaha, NE"
"2420 S 14 ST","1929250000",2005-07-11,"not remediated","not remediated","2420 S 14 ST Omaha, NE"
"2423 S 14 ST","1929330000",2004-07-20,"not remediated","not remediated","2423 S 14 ST Omaha, NE"
"916 S 27 ST","2110930002",2003-10-09,"not remediated","not remediated","916 S 27 ST Omaha, NE"
"3959 N 40 AV","1034360000",2014-03-24,"not remediated","not remediated","3959 N 40 AV Omaha, NE"
"3938 N 40 AV","1034420000",2005-09-07,"not remediated","not remediated","3938 N 40 AV Omaha, NE"
"4060 PRATT ST","1034650000",2004-08-30,"not remediated","not remediated","4060 PRATT ST Omaha, NE"
"3947 N 41 ST","1034880000",2004-08-10,"not remediated","not remediated","3947 N 41 ST Omaha, NE"
"3916 N 41 ST","1034980000",2006-12-18,"not remediated","not remediated","3916 N 41 ST Omaha, NE"
"3756 N 41 ST","1035060000",2003-09-07,"not remediated","not remediated","3756 N 41 ST Omaha, NE"
"3707 N 42 ST","1035210000",2004-06-11,"2011-10-11","remediated","3707 N 42 ST Omaha, NE"
"3739 N 42 ST","1035290000",2008-05-28,"not remediated","not remediated","3739 N 42 ST Omaha, NE"
"3925 N 42 ST","1035390000",2003-10-09,"not remediated","not remediated","3925 N 42 ST Omaha, NE"
"4007 N 42 ST","1035430000",2003-10-06,"not remediated","not remediated","4007 N 42 ST Omaha, NE"
"3744 N 39 ST","1035470115",2017-04-19,"not remediated","not remediated","3744 N 39 ST Omaha, NE"
"2401 N 28 AV","1035530000",2004-03-24,"not remediated","not remediated","2401 N 28 AV Omaha, NE"
"2810 GRANT ST","1035590000",2006-06-06,"2012-06-26","remediated","2810 GRANT ST Omaha, NE"
"2414 N 28 AV","1035680000",2006-05-31,"not remediated","not remediated","2414 N 28 AV Omaha, NE"
"2207 N 29 ST","0805790304",2013-11-01,"not remediated","not remediated","2207 N 29 ST Omaha, NE"
"2858 BURDETTE ST","1035980000",2006-08-30,"not remediated","not remediated","2858 BURDETTE ST Omaha, NE"
"2220 N 28 AV","1036030000",2006-08-29,"not remediated","not remediated","2220 N 28 AV Omaha, NE"
"2811 BURDETTE ST","1036140000",2006-12-15,"not remediated","not remediated","2811 BURDETTE ST Omaha, NE"
"4020 N 36 ST","1030980000",2004-08-31,"not remediated","not remediated","4020 N 36 ST Omaha, NE"
"3820 N 36 ST","1031130000",2016-11-18,"not remediated","not remediated","3820 N 36 ST Omaha, NE"
"3711 N 36 AV","1031280000",2006-08-10,"not remediated","not remediated","3711 N 36 AV Omaha, NE"
"3735 N 36 AV","1031340000",2004-08-30,"2014-06-09","remediated","3735 N 36 AV Omaha, NE"
"3953 N 36 AV","1031540000",2003-08-06,"not remediated","not remediated","3953 N 36 AV Omaha, NE"
"4417 N 21 ST","1900090000",2003-09-08,"2003-10-24","remediated","4417 N 21 ST Omaha, NE"
"2019 AMES AV","1900140002",2006-08-28,"not remediated","not remediated","2019 AMES AV Omaha, NE"
"4414 N 21 ST","1900220000",2004-08-11,"2008-08-01","remediated","4414 N 21 ST Omaha, NE"
"4411 N 22 ST","1900280000",2008-01-07,"2011-10-26","remediated","4411 N 22 ST Omaha, NE"
"4734 N 15 AV","2122330000",2014-09-30,"not remediated","not remediated","4734 N 15 AV Omaha, NE"
"4510 N 15 ST","2122510000",2010-05-20,"not remediated","not remediated","4510 N 15 ST Omaha, NE"
"4821 N 16 ST","2122820000",2004-12-03,"2012-05-31","remediated","4821 N 16 ST Omaha, NE"
"1315 AMES AV","1839530000",2005-08-22,"not remediated","not remediated","1315 AMES AV Omaha, NE"
"1421 AMES AV","1839630002",2004-08-11,"not remediated","not remediated","1421 AMES AV Omaha, NE"
"1479 AMES AV","1839690000",2007-01-17,"not remediated","not remediated","1479 AMES AV Omaha, NE"
"816 S 49 ST","1840080000",2008-11-18,"not remediated","not remediated","816 S 49 ST Omaha, NE"
"4809 SARATOGA ST","1840390503",2016-07-29,"2017-11-06","remediated","4809 SARATOGA ST Omaha, NE"
"10217 N 29 CT","1840396026",2004-01-21,"not remediated","not remediated","10217 N 29 CT Omaha, NE"
"3911 N 25 ST","1840410000",2008-09-17,"2005-10-21","remediated","3911 N 25 ST Omaha, NE"
"7531 N 34 ST","1842391171",2003-11-18,"not remediated","not remediated","7531 N 34 ST Omaha, NE"
"3425 FOREST LAWN AV","1842391175",2003-12-23,"not remediated","not remediated","3425 FOREST LAWN AV Omaha, NE"
"3409 FOREST LAWN AV","1842391183",2004-01-12,"not remediated","not remediated","3409 FOREST LAWN AV Omaha, NE"
"7924 N 40 ST","1842610000",2004-01-28,"not remediated","not remediated","7924 N 40 ST Omaha, NE"
"1409 S 4 ST","0901780000",2008-12-19,"2010-06-04","remediated","1409 S 4 ST Omaha, NE"
"4268 CORBY ST","0907060000",2004-08-31,"not remediated","not remediated","4268 CORBY ST Omaha, NE"
"4252 CORBY ST","0907100000",2003-11-21,"2006-08-22","remediated","4252 CORBY ST Omaha, NE"
"4253 CORBY ST","0907230000",2003-11-23,"2006-04-14","remediated","4253 CORBY ST Omaha, NE"
"4274 MIAMI ST","0907290000",2006-09-28,"2008-07-05","remediated","4274 MIAMI ST Omaha, NE"
"4216 MIAMI ST","0907370000",2003-11-14,"not remediated","not remediated","4216 MIAMI ST Omaha, NE"
"4209 MIAMI ST","0907430000",2003-06-11,"not remediated","not remediated","4209 MIAMI ST Omaha, NE"
"4224 OHIO ST","0907550000",2004-08-12,"not remediated","not remediated","4224 OHIO ST Omaha, NE"
"2519 N 43 ST","0907720000",2003-11-12,"2005-08-29","remediated","2519 N 43 ST Omaha, NE"
"4307 OHIO ST","0907870000",2005-10-04,"2011-07-28","remediated","4307 OHIO ST Omaha, NE"
"4350 LAKE ST","0908010000",2003-11-08,"2010-07-28","remediated","4350 LAKE ST Omaha, NE"
"2611 N 45 ST","0908250000",2017-08-15,"not remediated","not remediated","2611 N 45 ST Omaha, NE"
"4322 OHIO ST","0908320000",2003-08-06,"not remediated","not remediated","4322 OHIO ST Omaha, NE"
"4307 CORBY ST","0908380000",2008-06-24,"not remediated","not remediated","4307 CORBY ST Omaha, NE"
"4333 CORBY ST","0908450000",2003-07-30,"not remediated","not remediated","4333 CORBY ST Omaha, NE"
"4202 MAPLE ST","0908750000",2003-10-04,"not remediated","not remediated","4202 MAPLE ST Omaha, NE"
"4262 MAPLE ST","0908830000",2003-11-13,"2011-10-08","remediated","4262 MAPLE ST Omaha, NE"
"4340 MAPLE ST","0908970000",2004-11-18,"2009-10-07","remediated","4340 MAPLE ST Omaha, NE"
"5043 CHARLES ST","0909110000",2009-06-24,"not remediated","not remediated","5043 CHARLES ST Omaha, NE"
"5014 HAMILTON ST","0909230000",2008-09-30,"2009-11-23","remediated","5014 HAMILTON ST Omaha, NE"
"5000 HAMILTON ST","0909290000",2009-04-30,"not remediated","not remediated","5000 HAMILTON ST Omaha, NE"
"5139 CHARLES ST","0909400000",2008-11-11,"not remediated","not remediated","5139 CHARLES ST Omaha, NE"
"1522 N 51 ST","null",2008-10-21,"2004-05-10","remediated","1522 N 51 ST Omaha, NE"
"1517 N HAPPY HOLLOW BD","0909580000",2009-07-15,"2010-10-25","remediated","1517 N HAPPY HOLLOW BD Omaha, NE"
"1523 N 52 ST","0909650000",2009-06-10,"not remediated","not remediated","1523 N 52 ST Omaha, NE"
"1507 N 52 ST","0909710000",2013-04-23,"2014-10-04","remediated","1507 N 52 ST Omaha, NE"
"1504 N HAPPY HOLLOW BD","0909720000",2009-04-21,"not remediated","not remediated","1504 N HAPPY HOLLOW BD Omaha, NE"
"5124 CHARLES ST","0909790000",2008-11-12,"2010-07-13","remediated","5124 CHARLES ST Omaha, NE"
"5015 SEWARD ST","0909870000",2009-07-09,"not remediated","not remediated","5015 SEWARD ST Omaha, NE"
"1519 N 51 ST","null",2008-11-14,"2004-05-10","remediated","1519 N 51 ST Omaha, NE"
"5018 CHARLES ST","0910090000",2008-09-29,"not remediated","not remediated","5018 CHARLES ST Omaha, NE"
"1616 N 51 ST","0910140000",2014-06-18,"not remediated","not remediated","1616 N 51 ST Omaha, NE"
"2215 HOWARD ST","0834990001",2001-08-08,"2002-06-29","remediated","2215 HOWARD ST Omaha, NE"
"6612 S 26 ST","0835770002",2005-11-16,"not remediated","not remediated","6612 S 26 ST Omaha, NE"
"2626 DREXEL ST","0835920003",2003-11-18,"not remediated","not remediated","2626 DREXEL ST Omaha, NE"
"2618 POLK ST","0836200000",2004-10-21,"not remediated","not remediated","2618 POLK ST Omaha, NE"
"6821 S 27 ST","0836530552",2008-07-30,"not remediated","not remediated","6821 S 27 ST Omaha, NE"
"2607 DREXEL ST","0836530500",2006-11-21,"not remediated","not remediated","2607 DREXEL ST Omaha, NE"
"4404 S 23 ST","0412370000",2004-09-20,"not remediated","not remediated","4404 S 23 ST Omaha, NE"
"2006 N 40 ST","1819850000",2003-07-31,"not remediated","not remediated","2006 N 40 ST Omaha, NE"
"3077 S 16 ST","1819940000",2004-07-14,"2011-07-11","remediated","3077 S 16 ST Omaha, NE"
"3033 S 16 ST","1819990002",2005-12-05,"2009-10-08","remediated","3033 S 16 ST Omaha, NE"
"4123 L ST","1820090000",2003-12-16,"not remediated","not remediated","4123 L ST Omaha, NE"
"4102 M ST","1820150000",2004-11-15,"not remediated","not remediated","4102 M ST Omaha, NE"
"4723 S 42 ST","1820230000",2004-01-26,"not remediated","not remediated","4723 S 42 ST Omaha, NE"
"3938 M ST","1820420000",2008-07-09,"not remediated","not remediated","3938 M ST Omaha, NE"
"4103 M ST","1820540000",2004-11-09,"not remediated","not remediated","4103 M ST Omaha, NE"
"3941 M ST","1820570000",2008-09-15,"not remediated","not remediated","3941 M ST Omaha, NE"
"3911 M ST","1820610000",2004-11-11,"not remediated","not remediated","3911 M ST Omaha, NE"
"4105 J ST","1820650000",2004-10-12,"not remediated","not remediated","4105 J ST Omaha, NE"
"4532 S 41 ST","1820700006",2004-12-08,"not remediated","not remediated","4532 S 41 ST Omaha, NE"
"4510 S 40 ST","1820800000",2003-06-11,"not remediated","not remediated","4510 S 40 ST Omaha, NE"
"4526 S 40 ST","1820840000",2004-09-08,"not remediated","not remediated","4526 S 40 ST Omaha, NE"
"4519 S 40 ST","1821020000",2014-07-15,"not remediated","not remediated","4519 S 40 ST Omaha, NE"
"4543 S 40 ST","1821060000",2004-07-28,"2009-11-03","remediated","4543 S 40 ST Omaha, NE"
"4813 S 39 ST","1821130000",2004-01-06,"not remediated","not remediated","4813 S 39 ST Omaha, NE"
"3822 M ST","1821520000",2004-11-09,"not remediated","not remediated","3822 M ST Omaha, NE"
"3808 M ST","1821560000",2008-09-09,"not remediated","not remediated","3808 M ST Omaha, NE"
"4924 MIAMI ST","1822350000",2009-06-17,"not remediated","not remediated","4924 MIAMI ST Omaha, NE"
"3165 AMES AV","1822830000",2004-08-31,"not remediated","not remediated","3165 AMES AV Omaha, NE"
"3166 TAYLOR ST","1822970000",2004-08-20,"not remediated","not remediated","3166 TAYLOR ST Omaha, NE"
"4330 N 31 AV","1823030000",2004-10-06,"not remediated","not remediated","4330 N 31 AV Omaha, NE"
"3158 PAXTON BD","1823090000",2002-07-12,"not remediated","not remediated","3158 PAXTON BD Omaha, NE"
"3202 PAXTON BD","1823270000",2009-05-05,"not remediated","not remediated","3202 PAXTON BD Omaha, NE"
"4307 N 33 ST","1823340000",2004-08-10,"2010-08-11","remediated","4307 N 33 ST Omaha, NE"
"5214 S 38 ST","1823470000",2008-06-26,"2010-04-28","remediated","5214 S 38 ST Omaha, NE"
"3917 Q ST","1823530000",2008-09-10,"not remediated","not remediated","3917 Q ST Omaha, NE"
"3910 R ST","1823610002",2004-10-27,"not remediated","not remediated","3910 R ST Omaha, NE"
"3432 S 14 ST","1824640000",2004-07-21,"2012-05-03","remediated","3432 S 14 ST Omaha, NE"
"3447 S 15 ST","1824710000",2008-01-23,"2010-04-06","remediated","3447 S 15 ST Omaha, NE"
"3455 S 16 ST","1824840000",2003-08-06,"not remediated","not remediated","3455 S 16 ST Omaha, NE"
"3437 S 16 ST","1824870000",2003-11-05,"2008-10-25","remediated","3437 S 16 ST Omaha, NE"
"3725 S 16 ST","1824930000",2003-08-14,"not remediated","not remediated","3725 S 16 ST Omaha, NE"
"1501 B ST","1824970000",2003-09-11,"2007-09-17","remediated","1501 B ST Omaha, NE"
"1401 PASADENA AV","1825080000",2003-09-05,"not remediated","not remediated","1401 PASADENA AV Omaha, NE"
"1322 B ST","1825200000",2004-10-05,"2009-09-30","remediated","1322 B ST Omaha, NE"
"1605 N 53 ST","1825380000",2009-05-12,"not remediated","not remediated","1605 N 53 ST Omaha, NE"
"1621 N 53 ST","1825420000",2009-06-22,"not remediated","not remediated","1621 N 53 ST Omaha, NE"
